symbol,ts_bin,ofi_0,ofi_1,ofi_2,ofi_3,ofi_4,ofi_5,ofi_6,ofi_7,ofi_8,ofi_9,best_ofi,10_level_ofi,integrated_10_level_ofi,cross_asset_10_level_ofi
AAPL,2024-10-21 11:54:00+00:00,-531.0,346.0,542.0,-156.0,-61.0,580.0,44.0,-247.0,677.0,590.0,-531.0,1784.0,-102.27490117008963,0.0
AAPL,2024-10-21 11:55:00+00:00,-1217.0,1767.0,1821.0,-236.0,-380.0,738.0,-789.0,161.0,1388.0,-580.0,-1217.0,2673.0,-248.4910928000064,0.0
AAPL,2024-10-21 11:56:00+00:00,334.0,-573.0,1897.0,-585.0,652.0,-272.0,-64.0,850.0,-144.0,253.0,334.0,2348.0,-829.8796154596589,0.0
AAPL,2024-10-21 11:57:00+00:00,960.0,653.0,335.0,205.0,-1765.0,986.0,-504.0,-379.0,1667.0,-235.0,960.0,1923.0,585.9576942108068,0.0
AAPL,2024-10-21 11:58:00+00:00,615.0,18.0,1047.0,590.0,-41.0,-1183.0,1191.0,-111.0,567.0,2455.0,615.0,5148.0,-306.18360512677634,0.0
AAPL,2024-10-21 11:59:00+00:00,372.0,2335.0,892.0,-2199.0,-262.0,601.0,466.0,-74.0,1182.0,591.0,372.0,3904.0,-708.7708583321498,0.0
AAPL,2024-10-21 12:00:00+00:00,620.0,933.0,1508.0,523.0,-677.0,304.0,-91.0,-223.0,2250.0,-2290.0,620.0,2857.0,116.3108650918191,0.0
AAPL,2024-10-21 12:01:00+00:00,-798.0,468.0,2516.0,1963.0,286.0,-642.0,1497.0,-953.0,778.0,709.0,-798.0,5824.0,-201.26225253734845,0.0
AAPL,2024-10-21 12:02:00+00:00,-1000.0,-460.0,967.0,1232.0,-507.0,391.0,1394.0,-1283.0,2243.0,-1025.0,-1000.0,1952.0,330.2814092242176,0.0
AAPL,2024-10-21 12:03:00+00:00,-449.0,375.0,1170.0,1332.0,-675.0,699.0,795.0,-1267.0,2031.0,-1979.0,-449.0,2032.0,446.0723187799413,0.0
AAPL,2024-10-21 12:04:00+00:00,147.0,93.0,224.0,1217.0,-286.0,-252.0,283.0,-496.0,-27.0,-1051.0,147.0,-148.0,382.9217587126517,0.0
AAPL,2024-10-21 12:05:00+00:00,185.0,-670.0,187.0,2276.0,1545.0,-38.0,3637.0,2099.0,-2261.0,969.0,185.0,7929.0,199.7282866216659,0.0
AAPL,2024-10-21 12:06:00+00:00,-3741.0,2445.0,-689.0,2007.0,2042.0,657.0,782.0,-273.0,737.0,-1789.0,-3741.0,2178.0,416.1950363360759,0.0
AAPL,2024-10-21 12:07:00+00:00,-950.0,-3999.0,5643.0,491.0,2577.0,-1681.0,2118.0,1385.0,-4581.0,84.0,-950.0,1087.0,-2133.4818791762495,0.0
AAPL,2024-10-21 12:08:00+00:00,978.0,-5912.0,907.0,2472.0,-800.0,4801.0,-2835.0,5170.0,-1835.0,861.0,978.0,3807.0,1326.7838480644773,0.0
AAPL,2024-10-21 12:09:00+00:00,203.0,-2928.0,-511.0,2388.0,816.0,5525.0,-2967.0,533.0,3637.0,4034.0,203.0,10730.0,1186.1044842362107,0.0
AAPL,2024-10-21 12:10:00+00:00,9.0,-1057.0,-3849.0,-1342.0,3346.0,4353.0,-297.0,72.0,3488.0,9927.0,9.0,14650.0,-153.42977040931967,0.0
